PK_Md,reviewId,product,reviewDate,reviewerName,review,rating,recommendation,url
0fd8e23cca352854a7ae750538684cc6,0c883e25a471751c7ef96ffb,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-08-19,EmilyL,For preowned this is 100% great quality cant even tell it isnt brand new.,5,True,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=1
0fd8e23cca352854a7ae750538684cc6,c77d3cd1bf93ea091ddd30de,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-08-18,KoleF,Very great phone no scratches or anything! I was concerned because the box it came in had gotten damaged during shipping but the phone was fine! Battery charges well came with a charger.. Highly recommend buying from Best Buy over all others!,5,True,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=1
0fd8e23cca352854a7ae750538684cc6,39713b4e946eb5256047ee93,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-08-18,NoahK,So far so good  being refurbished this wasnt bad . Had to pull out three phones to find one that looked good though.,4,True,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=1
0fd8e23cca352854a7ae750538684cc6,77f43fe2a3b50bda8c8308e6,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-08-12,John,Works like a new phone. Service at best buy was super.,5,True,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=1
0fd8e23cca352854a7ae750538684cc6,eaf8372e811423b0e8bf9adc,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-08-11,IlsaR,I love the phone it works amazing I love the camera it has,5,True,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=1
0fd8e23cca352854a7ae750538684cc6,950d3b7fa796a9f2b163312c,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-08-09,OzielF,great phone my mom loved it for a reasonable price,5,True,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=1
0fd8e23cca352854a7ae750538684cc6,fce73ba682112666a05381e7,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-08-08,Itzel,The phone itself look in fair condition. But it came locked it does not show the passcode anywhere on the box.,1,False,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=1
0fd8e23cca352854a7ae750538684cc6,61da307d837c443f962a4488,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-08-06,Victor,Awesome phone currently using it to write this review much bigger than my old phone and the 5g antennas are working great over all very good although it did come with minor cosmetic damage but I could hardly see it great purchase otherwise,5,True,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=1
0fd8e23cca352854a7ae750538684cc6,6dec31919d2aad5fa2660dce,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-08-04,AderibigbeA,The product is very good and i can recommend it to other people,5,True,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=1
0fd8e23cca352854a7ae750538684cc6,75973acc994f3704e3db56ee,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-08-04,Gift,When I got this phone it was brand new still in the original case with the seal on it everything was there excellent condition I dont think it has ever been used,5,True,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=1
