PK_Md,reviewId,product,reviewDate,reviewerName,review,rating,recommendation,url
2d4f9eacb3bb819f8f3bdfc78fdc9426,deef35ae870d540730b6d28e,Apple iPhone 13 5G 128GB (Unlocked) Midnight MMM63LLA,2023-08-18,PaulT,This phone checked all the boxes to fit my needs. Some differences from my previous iPhone 8 but easy transition.,5,True,https://www.bestbuy.com/site/reviews/apple-iphone-13-5g-128gb-unlocked-midnight/6417788?variant=A&skuId=6417788&sort=MOST_RECENT&page=1
2d4f9eacb3bb819f8f3bdfc78fdc9426,54113a20a371f643dd2b6f7d,Apple iPhone 13 5G 128GB (Unlocked) Midnight MMM63LLA,2023-08-18,MohammadRony,I really like this I bought this phone for my father and he really liked it,5,True,https://www.bestbuy.com/site/reviews/apple-iphone-13-5g-128gb-unlocked-midnight/6417788?variant=A&skuId=6417788&sort=MOST_RECENT&page=1
2d4f9eacb3bb819f8f3bdfc78fdc9426,eb2b308083537c5900d14117,Apple iPhone 13 5G 128GB (Unlocked) Midnight MMM63LLA,2023-08-17,JonnieJ,Ive loved the iPhones since they came out and upgrading every year or two always has its benefits. Im obsessed with the camera and how long my battery lasts.,5,True,https://www.bestbuy.com/site/reviews/apple-iphone-13-5g-128gb-unlocked-midnight/6417788?variant=A&skuId=6417788&sort=MOST_RECENT&page=1
2d4f9eacb3bb819f8f3bdfc78fdc9426,45c03de7b9c8acc207dc1017,Apple iPhone 13 5G 128GB (Unlocked) Midnight MMM63LLA,2023-08-17,Neer,Had a noce buy. Thank you so much. Would prefer buying from here.,4,True,https://www.bestbuy.com/site/reviews/apple-iphone-13-5g-128gb-unlocked-midnight/6417788?variant=A&skuId=6417788&sort=MOST_RECENT&page=1
2d4f9eacb3bb819f8f3bdfc78fdc9426,75373961a9b2c74ec86145ad,Apple iPhone 13 5G 128GB (Unlocked) Midnight MMM63LLA,2023-08-15,BurulkanZ,This iPhone came in completely new box even they dont have the word “new” in product description. It was a gift for my sister she is happy so Im happy)),5,True,https://www.bestbuy.com/site/reviews/apple-iphone-13-5g-128gb-unlocked-midnight/6417788?variant=A&skuId=6417788&sort=MOST_RECENT&page=1
2d4f9eacb3bb819f8f3bdfc78fdc9426,d32f308783f420fd5e52d9fb,Apple iPhone 13 5G 128GB (Unlocked) Midnight MMM63LLA,2023-08-14,EsmeraldaM,great phone ! love this color ! I do recommend buying your new iphone here !,4,True,https://www.bestbuy.com/site/reviews/apple-iphone-13-5g-128gb-unlocked-midnight/6417788?variant=A&skuId=6417788&sort=MOST_RECENT&page=1
2d4f9eacb3bb819f8f3bdfc78fdc9426,817a3229bf9a72002cecb5d2,Apple iPhone 13 5G 128GB (Unlocked) Midnight MMM63LLA,2023-08-14,Jbucko,Got everything I needed and done in one day. No problems,5,True,https://www.bestbuy.com/site/reviews/apple-iphone-13-5g-128gb-unlocked-midnight/6417788?variant=A&skuId=6417788&sort=MOST_RECENT&page=1
2d4f9eacb3bb819f8f3bdfc78fdc9426,5c7a3301960c3dbe143b5fcc,Apple iPhone 13 5G 128GB (Unlocked) Midnight MMM63LLA,2023-08-13,adam,My son loves this phone and all its features. Its a really nice phone.,4,True,https://www.bestbuy.com/site/reviews/apple-iphone-13-5g-128gb-unlocked-midnight/6417788?variant=A&skuId=6417788&sort=MOST_RECENT&page=1
2d4f9eacb3bb819f8f3bdfc78fdc9426,f80739acad62d99d3094c8af,Apple iPhone 13 5G 128GB (Unlocked) Midnight MMM63LLA,2023-08-13,Ackpfft,I had an XR and I was perfectly fine with it...until I took my first photo with the 13. This is a way better phone for those who dont (or cant) want to shell out the big bucks for the 14. Battery life could be better though.,4,True,https://www.bestbuy.com/site/reviews/apple-iphone-13-5g-128gb-unlocked-midnight/6417788?variant=A&skuId=6417788&sort=MOST_RECENT&page=1
2d4f9eacb3bb819f8f3bdfc78fdc9426,328d3b439224fc2a7250ac6d,Apple iPhone 13 5G 128GB (Unlocked) Midnight MMM63LLA,2023-08-12,Jking,I like the blue iPhone 13   I was use old iPhone X I want upgrade iPhone  and my aunt buy for me with her credit card,5,True,https://www.bestbuy.com/site/reviews/apple-iphone-13-5g-128gb-unlocked-midnight/6417788?variant=A&skuId=6417788&sort=MOST_RECENT&page=1
2d4f9eacb3bb819f8f3bdfc78fdc9426,1c4e3c0382bad7a86034d757,Apple iPhone 13 5G 128GB (Unlocked) Midnight MMM63LLA,2023-08-12,Tiby,This purchase was a great opportunity. I am very happy with it.,5,True,https://www.bestbuy.com/site/reviews/apple-iphone-13-5g-128gb-unlocked-midnight/6417788?variant=A&skuId=6417788&sort=MOST_RECENT&page=1
2d4f9eacb3bb819f8f3bdfc78fdc9426,386c3ea8ba94094b146a2722,Apple iPhone 13 5G 128GB (Unlocked) Midnight MMM63LLA,2023-08-12,Tiby,Excellent purchase and opportunity. I like this phone,5,True,https://www.bestbuy.com/site/reviews/apple-iphone-13-5g-128gb-unlocked-midnight/6417788?variant=A&skuId=6417788&sort=MOST_RECENT&page=1
2d4f9eacb3bb819f8f3bdfc78fdc9426,810f35f6b90539de4b0bdb1a,Apple iPhone 13 5G 128GB (Unlocked) Midnight MMM63LLA,2023-08-12,KathyC,Very happy with this product will be recommending to family n friends,5,True,https://www.bestbuy.com/site/reviews/apple-iphone-13-5g-128gb-unlocked-midnight/6417788?variant=A&skuId=6417788&sort=MOST_RECENT&page=1
2d4f9eacb3bb819f8f3bdfc78fdc9426,bbda3a37b2d54847e241d31a,Apple iPhone 13 5G 128GB (Unlocked) Midnight MMM63LLA,2023-08-12,IvanT,Very nice color and works very nice with good color,5,True,https://www.bestbuy.com/site/reviews/apple-iphone-13-5g-128gb-unlocked-midnight/6417788?variant=A&skuId=6417788&sort=MOST_RECENT&page=1
