,date,product,PK_Md,relevancy
0,2022-08-21,iphone 12,0fd8e23cca352854a7ae750538684cc6,78
1,2022-08-28,iphone 12,0fd8e23cca352854a7ae750538684cc6,71
2,2022-09-04,iphone 12,0fd8e23cca352854a7ae750538684cc6,91
3,2022-09-11,iphone 12,0fd8e23cca352854a7ae750538684cc6,95
4,2022-09-18,iphone 12,0fd8e23cca352854a7ae750538684cc6,100
5,2022-09-25,iphone 12,0fd8e23cca352854a7ae750538684cc6,85
6,2022-10-02,iphone 12,0fd8e23cca352854a7ae750538684cc6,79
7,2022-10-09,iphone 12,0fd8e23cca352854a7ae750538684cc6,80
8,2022-10-16,iphone 12,0fd8e23cca352854a7ae750538684cc6,78
9,2022-10-23,iphone 12,0fd8e23cca352854a7ae750538684cc6,72
10,2022-10-30,iphone 12,0fd8e23cca352854a7ae750538684cc6,72
11,2022-11-06,iphone 12,0fd8e23cca352854a7ae750538684cc6,74
12,2022-11-13,iphone 12,0fd8e23cca352854a7ae750538684cc6,77
13,2022-11-20,iphone 12,0fd8e23cca352854a7ae750538684cc6,90
14,2022-11-27,iphone 12,0fd8e23cca352854a7ae750538684cc6,80
15,2022-12-04,iphone 12,0fd8e23cca352854a7ae750538684cc6,70
16,2022-12-11,iphone 12,0fd8e23cca352854a7ae750538684cc6,77
17,2022-12-18,iphone 12,0fd8e23cca352854a7ae750538684cc6,80
18,2022-12-25,iphone 12,0fd8e23cca352854a7ae750538684cc6,88
19,2023-01-01,iphone 12,0fd8e23cca352854a7ae750538684cc6,83
20,2023-01-08,iphone 12,0fd8e23cca352854a7ae750538684cc6,80
21,2023-01-15,iphone 12,0fd8e23cca352854a7ae750538684cc6,73
22,2023-01-22,iphone 12,0fd8e23cca352854a7ae750538684cc6,71
23,2023-01-29,iphone 12,0fd8e23cca352854a7ae750538684cc6,74
24,2023-02-05,iphone 12,0fd8e23cca352854a7ae750538684cc6,68
25,2023-02-12,iphone 12,0fd8e23cca352854a7ae750538684cc6,64
26,2023-02-19,iphone 12,0fd8e23cca352854a7ae750538684cc6,63
27,2023-02-26,iphone 12,0fd8e23cca352854a7ae750538684cc6,68
28,2023-03-05,iphone 12,0fd8e23cca352854a7ae750538684cc6,61
29,2023-03-12,iphone 12,0fd8e23cca352854a7ae750538684cc6,65
30,2023-03-19,iphone 12,0fd8e23cca352854a7ae750538684cc6,63
31,2023-03-26,iphone 12,0fd8e23cca352854a7ae750538684cc6,62
32,2023-04-02,iphone 12,0fd8e23cca352854a7ae750538684cc6,64
33,2023-04-09,iphone 12,0fd8e23cca352854a7ae750538684cc6,64
